State,County,Census Tract,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
Virginia,"Isle of Wight County, VA",2802,78.2,77.6-79.5,1.6628
Virginia,"Isle of Wight County, VA",2803,75.8,75.2-77.5,1.323
Virginia,"Isle of Wight County, VA",2804,75.5,75.2-77.5,1.3353
Virginia,"James City County, VA",801.01,80.4,79.6-81.6,0.7985
Virginia,"James City County, VA",801.02,72.1,56.9-75.1,1.336
Virginia,"James City County, VA",802.02,80.9,79.6-81.6,1.5371
Virginia,"James City County, VA",802.03,80.7,79.6-81.6,1.4414
Virginia,"James City County, VA",802.05,80.4,79.6-81.6,1.8058
Virginia,"James City County, VA",802.06,89,81.7-97.5,3.0851
Virginia,"James City County, VA",803.01,78.1,77.6-79.5,1.1379
Virginia,"James City County, VA",803.03,80.8,79.6-81.6,1.1792
Virginia,"James City County, VA",803.04,85.7,81.7-97.5,1.4553
Virginia,"James City County, VA",804.01,82.9,81.7-97.5,1.8083
Virginia,"James City County, VA",804.02,81.5,79.6-81.6,1.7886
Virginia,"King and Queen County, VA",9504,75,56.9-75.1,1.2767
Virginia,"King and Queen County, VA",9505,82,81.7-97.5,2.2429
Virginia,"King George County, VA",401,83.6,81.7-97.5,2.162
Virginia,"King George County, VA",402,79.5,77.6-79.5,2.0262
Virginia,"King George County, VA",403,74.2,56.9-75.1,1.1692
Virginia,"King George County, VA",404,80.2,79.6-81.6,2.0964
Virginia,"King George County, VA",405,76.8,75.2-77.5,1.6713
Virginia,"King William County, VA",9501.01,73.6,56.9-75.1,1.3551
Virginia,"King William County, VA",9501.02,77.3,75.2-77.5,1.1497
Virginia,"King William County, VA",9502,76.4,75.2-77.5,1.8918
Virginia,"King William County, VA",9503,76.4,75.2-77.5,1.9216
Virginia,"Lancaster County, VA",301,77.1,75.2-77.5,1.4242
Virginia,"Lancaster County, VA",302,79.7,79.6-81.6,1.8693
Virginia,"Lancaster County, VA",303,78.4,77.6-79.5,1.417
Virginia,Lancaster County,9901,,,
Virginia,"Lee County, VA",9501,75.5,75.2-77.5,1.4514
Virginia,"Lee County, VA",9502,81,79.6-81.6,2.9232
Virginia,"Lee County, VA",9503,76.6,75.2-77.5,1.3991
Virginia,"Lee County, VA",9504,74.8,56.9-75.1,1.3363
Virginia,"Lee County, VA",9505,75.2,75.2-77.5,2.0887
Virginia,"Lee County, VA",9506,78.9,77.6-79.5,1.8303
Virginia,"Loudoun County, VA",6101.01,83.4,81.7-97.5,2.7218
Virginia,"Loudoun County, VA",6101.02,78.9,77.6-79.5,1.4352
Virginia,"Loudoun County, VA",6102.01,85.3,81.7-97.5,2.6971
Virginia,"Loudoun County, VA",6102.02,80.8,79.6-81.6,1.4674
Virginia,"Loudoun County, VA",6103,82.6,81.7-97.5,1.6264
Virginia,"Loudoun County, VA",6104,81.9,81.7-97.5,1.6031
Virginia,"Loudoun County, VA",6105.03,80.8,79.6-81.6,2.1176
Virginia,"Loudoun County, VA",6105.04,82.8,81.7-97.5,2.7992
Virginia,"Loudoun County, VA",6105.05,76.6,75.2-77.5,1.5097
Virginia,"Loudoun County, VA",6105.06,81.8,81.7-97.5,2.6231
Virginia,"Loudoun County, VA",6105.07,80.3,79.6-81.6,1.7194
Virginia,"Loudoun County, VA",6106.01,82.7,81.7-97.5,1.8801
Virginia,"Loudoun County, VA",6106.02,,,
Virginia,"Loudoun County, VA",6106.03,79.4,77.6-79.5,1.6681
Virginia,"Loudoun County, VA",6106.04,,,
Virginia,"Loudoun County, VA",6107.01,84.6,81.7-97.5,3.3174
Virginia,"Loudoun County, VA",6107.02,84.9,81.7-97.5,2.6346
Virginia,"Loudoun County, VA",6107.03,80.7,79.6-81.6,1.4585
Virginia,"Loudoun County, VA",6108,83.5,81.7-97.5,3.6418
Virginia,"Loudoun County, VA",6109,81.1,79.6-81.6,2.5919
Virginia,"Loudoun County, VA",6110.02,,,
Virginia,"Loudoun County, VA",6110.04,81.9,81.7-97.5,2.9889
Virginia,"Loudoun County, VA",6110.05,,,
Virginia,"Loudoun County, VA",6110.06,83,81.7-97.5,3.5707
Virginia,"Loudoun County, VA",6110.09,,,
Virginia,"Loudoun County, VA",6110.1,,,
Virginia,"Loudoun County, VA",6110.11,,,
Virginia,"Loudoun County, VA",6110.12,,,
Virginia,"Loudoun County, VA",6110.13,82.4,81.7-97.5,2.3318
Virginia,"Loudoun County, VA",6110.14,82.5,81.7-97.5,2.8398
Virginia,"Loudoun County, VA",6110.15,,,
Virginia,"Loudoun County, VA",6110.16,80.7,79.6-81.6,1.0365
Virginia,"Loudoun County, VA",6110.17,84.4,81.7-97.5,3.1259
Virginia,"Loudoun County, VA",6110.18,83.9,81.7-97.5,1.8838
Virginia,"Loudoun County, VA",6110.19,,,
Virginia,"Loudoun County, VA",6110.2,80.8,79.6-81.6,2.0973
Virginia,"Loudoun County, VA",6110.21,,,
Virginia,"Loudoun County, VA",6110.22,,,
Virginia,"Loudoun County, VA",6110.23,,,
Virginia,"Loudoun County, VA",6110.24,82,81.7-97.5,2.7964
Virginia,"Loudoun County, VA",6110.25,,,
Virginia,"Loudoun County, VA",6111.01,80,79.6-81.6,1.4777
Virginia,"Loudoun County, VA",6111.02,86.3,81.7-97.5,3.9494
Virginia,"Loudoun County, VA",6112.02,84.3,81.7-97.5,1.0974
Virginia,"Loudoun County, VA",6112.04,78.6,77.6-79.5,2.3807
Virginia,"Loudoun County, VA",6112.05,81.8,81.7-97.5,1.4336
Virginia,"Loudoun County, VA",6112.06,81.6,79.6-81.6,2.873
Virginia,"Loudoun County, VA",6112.07,84.1,81.7-97.5,3.2544
Virginia,"Loudoun County, VA",6112.08,80.3,79.6-81.6,2.5403
Virginia,"Loudoun County, VA",6112.09,80.7,79.6-81.6,1.2682
Virginia,"Loudoun County, VA",6113,81.8,81.7-97.5,1.6888
Virginia,"Loudoun County, VA",6114,82.6,81.7-97.5,2.9357
Virginia,"Loudoun County, VA",6115.01,,,
Virginia,"Loudoun County, VA",6115.02,79.5,77.6-79.5,1.3896
Virginia,"Loudoun County, VA",6116.01,85.6,81.7-97.5,3.7914
Virginia,"Loudoun County, VA",6116.02,78.7,77.6-79.5,2.0256
Virginia,"Loudoun County, VA",6117,78.9,77.6-79.5,1.5586
Virginia,"Loudoun County, VA",6118.01,,,
Virginia,"Loudoun County, VA",6118.02,,,
Virginia,"Loudoun County, VA",6118.03,80.9,79.6-81.6,2.8669
Virginia,"Loudoun County, VA",6118.04,,,
Virginia,"Loudoun County, VA",6118.05,,,
Virginia,"Loudoun County, VA",6118.06,83.8,81.7-97.5,3.8341
Virginia,"Loudoun County, VA",6119,80.6,79.6-81.6,3.1959
Virginia,"Loudoun County, VA",9801,,,
Virginia,"Louisa County, VA",9501,79.8,79.6-81.6,1.8846
Virginia,"Louisa County, VA",9502.01,75.9,75.2-77.5,1.2137
Virginia,"Louisa County, VA",9502.02,80,79.6-81.6,1.7968
Virginia,"Louisa County, VA",9503,77.6,77.6-79.5,0.8726
Virginia,"Louisa County, VA",9504,76,75.2-77.5,1.5192
Virginia,"Louisa County, VA",9505,76.1,75.2-77.5,1.0649
Virginia,"Lunenburg County, VA",9301,79.2,77.6-79.5,1.2573
Virginia,"Lunenburg County, VA",9302,75.4,75.2-77.5,1.2547
Virginia,"Lunenburg County, VA",9303,73.4,56.9-75.1,2.2675
Virginia,"Madison County, VA",9301,80.4,79.6-81.6,1.5926
Virginia,"Madison County, VA",9302,76,75.2-77.5,1.0328
Virginia,"Mathews County, VA",9513,84.9,81.7-97.5,2.3203
Virginia,"Mathews County, VA",9514,79.1,77.6-79.5,1.0601
Virginia,Mathews County,9901,,,
Virginia,"Mecklenburg County, VA",9301.01,78.2,77.6-79.5,2.8916
Virginia,"Mecklenburg County, VA",9301.02,78.5,77.6-79.5,2.0541
Virginia,"Mecklenburg County, VA",9302,73.7,56.9-75.1,1.6907
Virginia,"Mecklenburg County, VA",9303,75.9,75.2-77.5,1.4774
Virginia,"Mecklenburg County, VA",9304,74.8,56.9-75.1,1.2966
Virginia,"Mecklenburg County, VA",9305,77.5,75.2-77.5,2.7158
Virginia,"Mecklenburg County, VA",9306,,,
Virginia,"Mecklenburg County, VA",9307,77.3,75.2-77.5,1.7675
Virginia,"Mecklenburg County, VA",9308,75.1,56.9-75.1,1.423
Virginia,"Middlesex County, VA",9509,74.7,56.9-75.1,1.7872
Virginia,"Middlesex County, VA",9510,78.4,77.6-79.5,1.3053
Virginia,"Middlesex County, VA",9511,78.8,77.6-79.5,2.1014
Virginia,"Middlesex County, VA",9512,79.9,79.6-81.6,0.9359
Virginia,Middlesex County,9901,,,
Virginia,"Montgomery County, VA",201,,,
Virginia,"Montgomery County, VA",202.01,78.9,77.6-79.5,2.4457
Virginia,"Montgomery County, VA",202.02,72.7,56.9-75.1,1.9973
Virginia,"Montgomery County, VA",203,,,
Virginia,"Montgomery County, VA",204,,,
Virginia,"Montgomery County, VA",205,80,79.6-81.6,2.081
Virginia,"Montgomery County, VA",206,,,
Virginia,"Montgomery County, VA",207,78.7,77.6-79.5,2.044
Virginia,"Montgomery County, VA",208,78.1,77.6-79.5,2.166
Virginia,"Montgomery County, VA",209,77.5,75.2-77.5,1.3802
Virginia,"Montgomery County, VA",210,78.7,77.6-79.5,1.3041
Virginia,"Montgomery County, VA",211,78.8,77.6-79.5,1.184
Virginia,"Montgomery County, VA",212,78.4,77.6-79.5,1.8618
Virginia,"Montgomery County, VA",213,77.5,75.2-77.5,1.3734
Virginia,"Montgomery County, VA",214,,,
Virginia,"Montgomery County, VA",215,79.2,77.6-79.5,1.4975
Virginia,"Nelson County, VA",9501,73.3,56.9-75.1,1.7437
Virginia,"Nelson County, VA",9502,82.4,81.7-97.5,2.5149
Virginia,"Nelson County, VA",9503,77.6,77.6-79.5,1.2782
Virginia,"New Kent County, VA",7001,76.9,75.2-77.5,1.783
Virginia,"New Kent County, VA",7002,75.9,75.2-77.5,1.3177
Virginia,"New Kent County, VA",7003,80.5,79.6-81.6,1.3274
Virginia,"Northampton County, VA",9301,81.2,79.6-81.6,1.7712
Virginia,"Northampton County, VA",9302,85.2,81.7-97.5,2.7903
Virginia,"Northampton County, VA",9303,79.7,79.6-81.6,1.5249
Virginia,Northampton County,9901,,,
Virginia,"Northumberland County, VA",201,77,75.2-77.5,1.6216
Virginia,"Northumberland County, VA",202,80,79.6-81.6,1.5343
Virginia,"Northumberland County, VA",203,78.8,77.6-79.5,1.4061
Virginia,Northumberland County,9901,,,
Virginia,"Nottoway County, VA",1,74.5,56.9-75.1,1.1742
Virginia,"Nottoway County, VA",2,78,77.6-79.5,1.6538
Virginia,"Nottoway County, VA",3,76,75.2-77.5,1.1622
Virginia,"Nottoway County, VA",9801,,,
Virginia,"Orange County, VA",1101.02,75.1,56.9-75.1,1.0327
Virginia,"Orange County, VA",1101.03,82.2,81.7-97.5,1.3993
Virginia,"Orange County, VA",1101.04,79.7,79.6-81.6,2.4065
Virginia,"Orange County, VA",1102,76.7,75.2-77.5,1.1107
Virginia,"Orange County, VA",1103,78.6,77.6-79.5,1.3207
Virginia,"Page County, VA",301,76.3,75.2-77.5,1.3906
Virginia,"Page County, VA",302,76.4,75.2-77.5,1.5022
Virginia,"Page County, VA",303,76.1,75.2-77.5,1.0939
Virginia,"Page County, VA",304,74.5,56.9-75.1,1.158
Virginia,"Page County, VA",305,77.6,77.6-79.5,1.289
Virginia,"Patrick County, VA",301,74.2,56.9-75.1,1.4759
Virginia,"Patrick County, VA",302,75.3,75.2-77.5,1.1969
Virginia,"Patrick County, VA",303.01,73.6,56.9-75.1,1.8776
Virginia,"Patrick County, VA",303.02,76.6,75.2-77.5,1.617
Virginia,"Pittsylvania County, VA",101,75.9,75.2-77.5,1.3403
Virginia,"Pittsylvania County, VA",102,77.2,75.2-77.5,1.1335
Virginia,"Pittsylvania County, VA",103,76.4,75.2-77.5,1.5101
Virginia,"Pittsylvania County, VA",104,76.2,75.2-77.5,1.659
Virginia,"Pittsylvania County, VA",105,75.6,75.2-77.5,0.7368
Virginia,"Pittsylvania County, VA",106,75.4,75.2-77.5,1.6037
Virginia,"Pittsylvania County, VA",107,75.8,75.2-77.5,1.2357
Virginia,"Pittsylvania County, VA",108.01,75.6,75.2-77.5,1.8986
Virginia,"Pittsylvania County, VA",108.02,75.4,75.2-77.5,1.2244
Virginia,"Pittsylvania County, VA",109,74.7,56.9-75.1,1.3853
Virginia,"Pittsylvania County, VA",110.01,76.1,75.2-77.5,2.2299
Virginia,"Pittsylvania County, VA",110.02,75.9,75.2-77.5,0.8501
Virginia,"Pittsylvania County, VA",111,74.1,56.9-75.1,1.4253
Virginia,"Pittsylvania County, VA",112,75.6,75.2-77.5,1.7738
Virginia,"Pittsylvania County, VA",113,76,75.2-77.5,1.1662
Virginia,"Pittsylvania County, VA",114,78.2,77.6-79.5,1.8089
Virginia,"Powhatan County, VA",5001.01,80,79.6-81.6,1.3301
Virginia,"Powhatan County, VA",5001.02,80.1,79.6-81.6,1.7676
Virginia,"Powhatan County, VA",5002,79.6,79.6-81.6,1.5217
Virginia,"Powhatan County, VA",5003,,,
Virginia,"Powhatan County, VA",5004,77.7,77.6-79.5,1.7376
Virginia,"Prince Edward County, VA",9301,73.6,56.9-75.1,0.7615
Virginia,"Prince Edward County, VA",9302.01,,,
Virginia,"Prince Edward County, VA",9302.02,75.3,75.2-77.5,1.1147
Virginia,"Prince Edward County, VA",9302.03,,,
Virginia,"Prince Edward County, VA",9303,75.3,75.2-77.5,0.8905
Virginia,"Prince George County, VA",8501,,,
Virginia,"Prince George County, VA",8502,,,
Virginia,"Prince George County, VA",8503.01,76.3,75.2-77.5,1.9641
Virginia,"Prince George County, VA",8503.02,84,81.7-97.5,3.09
Virginia,"Prince George County, VA",8504,79.8,79.6-81.6,1.9631
Virginia,"Prince George County, VA",8505.01,79.7,79.6-81.6,1.8827
Virginia,"Prince George County, VA",8505.02,78.4,77.6-79.5,1.8975
Virginia,"Prince William County, VA",9001,79.7,79.6-81.6,1.5139
Virginia,"Prince William County, VA",9002.01,76.3,75.2-77.5,3.572
Virginia,"Prince William County, VA",9002.02,81,79.6-81.6,2.6354
Virginia,"Prince William County, VA",9002.03,77.4,75.2-77.5,2.8715
Virginia,"Prince William County, VA",9003,79.9,79.6-81.6,1.8818
Virginia,"Prince William County, VA",9004.03,81.9,81.7-97.5,2.729
Virginia,"Prince William County, VA",9004.04,81.5,79.6-81.6,3.0699
Virginia,"Prince William County, VA",9004.07,,,
Virginia,"Prince William County, VA",9004.08,80.1,79.6-81.6,2.661
Virginia,"Prince William County, VA",9004.09,77.4,75.2-77.5,1.617
Virginia,"Prince William County, VA",9004.1,,,
Virginia,"Prince William County, VA",9005.01,81.5,79.6-81.6,1.799
Virginia,"Prince William County, VA",9005.02,80.3,79.6-81.6,1.8377
Virginia,"Prince William County, VA",9006,77.1,75.2-77.5,1.5986
Virginia,"Prince William County, VA",9007.01,,,
Virginia,"Prince William County, VA",9007.02,81.4,79.6-81.6,2.7095
Virginia,"Prince William County, VA",9008.01,80.4,79.6-81.6,2.6478
Virginia,"Prince William County, VA",9008.02,,,
Virginia,"Prince William County, VA",9009.01,77.1,75.2-77.5,1.6636
Virginia,"Prince William County, VA",9009.04,,,
Virginia,"Prince William County, VA",9009.05,79.6,79.6-81.6,1.7569
Virginia,"Prince William County, VA",9010.01,,,
Virginia,"Prince William County, VA",9010.05,80.4,79.6-81.6,3.6447
Virginia,"Prince William County, VA",9010.08,,,
Virginia,"Prince William County, VA",9010.09,82.1,81.7-97.5,2.8464
Virginia,"Prince William County, VA",9010.1,80.3,79.6-81.6,1.9879
Virginia,"Prince William County, VA",9010.11,81.8,81.7-97.5,2.5131
Virginia,"Prince William County, VA",9010.12,80.4,79.6-81.6,0.9022
Virginia,"Prince William County, VA",9011,,,
Virginia,"Prince William County, VA",9012.03,84.3,81.7-97.5,3.9575
Virginia,"Prince William County, VA",9012.08,82.4,81.7-97.5,1.3204
Virginia,"Prince William County, VA",9012.09,83.4,81.7-97.5,1.8858
Virginia,"Prince William County, VA",9012.11,77.1,75.2-77.5,1.2644
Virginia,"Prince William County, VA",9012.12,80.7,79.6-81.6,2.6189
Virginia,"Prince William County, VA",9012.19,80.2,79.6-81.6,1.1679
Virginia,"Prince William County, VA",9012.21,80.5,79.6-81.6,1.7845
Virginia,"Prince William County, VA",9012.22,80.5,79.6-81.6,3.2195
Virginia,"Prince William County, VA",9012.23,82.4,81.7-97.5,2.925
Virginia,"Prince William County, VA",9012.24,77.4,75.2-77.5,2.426
Virginia,"Prince William County, VA",9012.25,77,75.2-77.5,1.4875
Virginia,"Prince William County, VA",9012.26,79.9,79.6-81.6,1.4755
Virginia,"Prince William County, VA",9012.27,79.9,79.6-81.6,1.7615
Virginia,"Prince William County, VA",9012.28,79.9,79.6-81.6,1.8253
Virginia,"Prince William County, VA",9012.29,79.9,79.6-81.6,2.2277
Virginia,"Prince William County, VA",9012.3,79.9,79.6-81.6,2.8815
Virginia,"Prince William County, VA",9012.31,80.2,79.6-81.6,1.4794
Virginia,"Prince William County, VA",9012.32,81.6,79.6-81.6,2.8378
Virginia,"Prince William County, VA",9012.33,79.8,79.6-81.6,2.5854
Virginia,"Prince William County, VA",9012.34,80.8,79.6-81.6,1.8918
Virginia,"Prince William County, VA",9012.35,80.4,79.6-81.6,2.2675
Virginia,"Prince William County, VA",9012.36,80.4,79.6-81.6,2.6315
Virginia,"Prince William County, VA",9012.37,80.5,79.6-81.6,2.5504
Virginia,"Prince William County, VA",9013.03,80.7,79.6-81.6,1.8792
Virginia,"Prince William County, VA",9013.04,77.1,75.2-77.5,1.7194
Virginia,"Prince William County, VA",9013.05,76.1,75.2-77.5,1.46
Virginia,"Prince William County, VA",9013.06,81,79.6-81.6,2.3545
Virginia,"Prince William County, VA",9014.03,81.4,79.6-81.6,2.6824
Virginia,"Prince William County, VA",9014.07,78.2,77.6-79.5,3.6758
Virginia,"Prince William County, VA",9014.08,79.4,77.6-79.5,2.9941
Virginia,"Prince William County, VA",9014.09,,,
Virginia,"Prince William County, VA",9014.1,80.8,79.6-81.6,1.853
Virginia,"Prince William County, VA",9014.11,86,81.7-97.5,3.9833
Virginia,"Prince William County, VA",9014.12,80.7,79.6-81.6,2.2059
Virginia,"Prince William County, VA",9014.13,80.9,79.6-81.6,3.4894
Virginia,"Prince William County, VA",9014.14,83.9,81.7-97.5,2.2645
Virginia,"Prince William County, VA",9014.15,,,
Virginia,"Prince William County, VA",9014.16,,,
Virginia,"Prince William County, VA",9014.17,81.3,79.6-81.6,2.6721
Virginia,"Prince William County, VA",9015.03,80.6,79.6-81.6,1.5333
Virginia,"Prince William County, VA",9015.04,77.9,77.6-79.5,3.1458
Virginia,"Prince William County, VA",9015.05,80.7,79.6-81.6,1.5984
Virginia,"Prince William County, VA",9015.06,80.9,79.6-81.6,3.8712
Virginia,"Prince William County, VA",9015.07,80.8,79.6-81.6,3.3208
Virginia,"Prince William County, VA",9015.08,,,
Virginia,"Prince William County, VA",9015.09,80.1,79.6-81.6,1.8581
Virginia,"Prince William County, VA",9015.1,83,81.7-97.5,3.0428
Virginia,"Prince William County, VA",9015.11,80.4,79.6-81.6,1.3978
Virginia,"Prince William County, VA",9016.01,78.8,77.6-79.5,1.2296
Virginia,"Prince William County, VA",9016.02,78,77.6-79.5,1.9504
Virginia,"Prince William County, VA",9017.01,79.4,77.6-79.5,2.3573
Virginia,"Prince William County, VA",9017.02,75.4,75.2-77.5,1.779
Virginia,"Prince William County, VA",9019,78.8,77.6-79.5,1.6971
Virginia,"Prince William County, VA",9801,,,
Virginia,"Pulaski County, VA",2101,80.9,79.6-81.6,1.5233
Virginia,"Pulaski County, VA",2102.01,72.3,56.9-75.1,1.7765
Virginia,"Pulaski County, VA",2102.02,76.2,75.2-77.5,1.3595
Virginia,"Pulaski County, VA",2103,72.4,56.9-75.1,1.2101
Virginia,"Pulaski County, VA",2104,72.5,56.9-75.1,1.0198
Virginia,"Pulaski County, VA",2105,76.3,75.2-77.5,1.3299
Virginia,"Pulaski County, VA",2106,76.5,75.2-77.5,1.8366
Virginia,"Pulaski County, VA",2107,76.4,75.2-77.5,1.228
Virginia,"Pulaski County, VA",9801,,,
Virginia,"Pulaski County, VA",9802,,,
Virginia,"Rappahannock County, VA",9501,80.1,79.6-81.6,1.51
Virginia,"Rappahannock County, VA",9502,79.2,77.6-79.5,1.0689
Virginia,"Richmond County, VA",401,76.3,75.2-77.5,1.2975
Virginia,"Richmond County, VA",402,80.1,79.6-81.6,1.8634
Virginia,"Roanoke County, VA",301,77,75.2-77.5,1.9081
Virginia,"Roanoke County, VA",302.01,78.2,77.6-79.5,1.4335
Virginia,"Roanoke County, VA",302.03,80.7,79.6-81.6,2.081
Virginia,"Roanoke County, VA",302.04,74.3,56.9-75.1,1.1614
Virginia,"Roanoke County, VA",302.05,81.4,79.6-81.6,1.7182
Virginia,"Roanoke County, VA",303,76.4,75.2-77.5,1.0013
Virginia,"Roanoke County, VA",305,79.8,79.6-81.6,1.1912
Virginia,"Roanoke County, VA",306,81.2,79.6-81.6,1.6608
Virginia,"Roanoke County, VA",307.01,79.9,79.6-81.6,1.1909
Virginia,"Roanoke County, VA",307.02,83.1,81.7-97.5,2.0572
Virginia,"Roanoke County, VA",308.01,80.1,79.6-81.6,1.5418
Virginia,"Roanoke County, VA",308.02,83.1,81.7-97.5,1.9372
Virginia,"Roanoke County, VA",309,79,77.6-79.5,1.3253
Virginia,"Roanoke County, VA",310,78.8,77.6-79.5,1.7823
Virginia,"Roanoke County, VA",311.01,72.6,56.9-75.1,1.6744
Virginia,"Roanoke County, VA",311.02,80.3,79.6-81.6,2.9028
Virginia,"Roanoke County, VA",312.01,,,
Virginia,"Roanoke County, VA",312.02,81.4,79.6-81.6,1.3806
Virginia,"Rockbridge County, VA",9301,80.6,79.6-81.6,1.417
Virginia,"Rockbridge County, VA",9302,81.1,79.6-81.6,1.8806
Virginia,"Rockbridge County, VA",9303,80.2,79.6-81.6,1.2953
Virginia,"Rockbridge County, VA",9304,79,77.6-79.5,1.5773
Virginia,"Rockingham County, VA",101,76.6,75.2-77.5,1.5632
Virginia,"Rockingham County, VA",102,74.1,56.9-75.1,0.7348
Virginia,"Rockingham County, VA",103,80.1,79.6-81.6,1.2593
Virginia,"Rockingham County, VA",104,77.4,75.2-77.5,1.2386
Virginia,"Rockingham County, VA",105,79.1,77.6-79.5,1.7513
Virginia,"Rockingham County, VA",106,82.2,81.7-97.5,2.369
Virginia,"Rockingham County, VA",107,80,79.6-81.6,1.4231
Virginia,"Rockingham County, VA",108,78.2,77.6-79.5,1.1744
Virginia,"Rockingham County, VA",109,78.9,77.6-79.5,1.6909
Virginia,"Rockingham County, VA",110,77.7,77.6-79.5,1.7325
Virginia,"Rockingham County, VA",111,79.7,79.6-81.6,1.6094
Virginia,"Rockingham County, VA",112,80.9,79.6-81.6,2.1325
Virginia,"Rockingham County, VA",114,85,81.7-97.5,1.9186
Virginia,"Rockingham County, VA",115,81.8,81.7-97.5,1.3244
Virginia,"Rockingham County, VA",116,81.7,81.7-97.5,1.6069
Virginia,"Rockingham County, VA",117,80,79.6-81.6,2.1571
Virginia,"Rockingham County, VA",118,81.9,81.7-97.5,0.9175
Virginia,"Rockingham County, VA",119,81.4,79.6-81.6,2.7902
Virginia,"Rockingham County, VA",120,79.1,77.6-79.5,1.5327
Virginia,"Russell County, VA",301,79.3,77.6-79.5,2.6096
Virginia,"Russell County, VA",302,76.5,75.2-77.5,1.586
Virginia,"Russell County, VA",303,77.5,75.2-77.5,1.9445
Virginia,"Russell County, VA",304.01,73.8,56.9-75.1,1.2221
Virginia,"Russell County, VA",304.02,78.6,77.6-79.5,2.5824
Virginia,"Russell County, VA",305,73.1,56.9-75.1,1.8869
Virginia,"Russell County, VA",306,74.4,56.9-75.1,2.0725
Virginia,"Scott County, VA",301,75.4,75.2-77.5,1.2663
Virginia,"Scott County, VA",302,75.5,75.2-77.5,1.5313
Virginia,"Scott County, VA",303,74.9,56.9-75.1,1.0503
Virginia,"Scott County, VA",304,74.4,56.9-75.1,1.0602
Virginia,"Scott County, VA",305,75.6,75.2-77.5,1.602
Virginia,"Scott County, VA",306,75.3,75.2-77.5,1.8198
Virginia,"Shenandoah County, VA",401,77.3,75.2-77.5,1.0429
Virginia,"Shenandoah County, VA",402.01,79.8,79.6-81.6,2.1159
Virginia,"Shenandoah County, VA",402.02,75.5,75.2-77.5,1.5745
Virginia,"Shenandoah County, VA",403,78.8,77.6-79.5,1.062
Virginia,"Shenandoah County, VA",404,80.3,79.6-81.6,1.8628
Virginia,"Shenandoah County, VA",405,78.8,77.6-79.5,1.0648
Virginia,"Shenandoah County, VA",406,79.3,77.6-79.5,1.3612
Virginia,"Shenandoah County, VA",407,77.6,77.6-79.5,1.2856
Virginia,"Shenandoah County, VA",408,80.6,79.6-81.6,1.4152
Virginia,"Smyth County, VA",301,,,
Virginia,"Smyth County, VA",302,75,56.9-75.1,1.1645
Virginia,"Smyth County, VA",303.01,71.5,56.9-75.1,1.7138
Virginia,"Smyth County, VA",303.02,75.8,75.2-77.5,1.3311
Virginia,"Smyth County, VA",304,76.2,75.2-77.5,1.4788
Virginia,"Smyth County, VA",305,74,56.9-75.1,1.5777
Virginia,"Smyth County, VA",306,73.1,56.9-75.1,1.7877
Virginia,"Smyth County, VA",307.01,74.5,56.9-75.1,1.1078
Virginia,"Smyth County, VA",307.02,75.5,75.2-77.5,1.3243
Virginia,"Southampton County, VA",2001,77.2,75.2-77.5,1.2007
Virginia,"Southampton County, VA",2002,,,
Virginia,"Southampton County, VA",2003,,,
Virginia,"Southampton County, VA",2004,76.4,75.2-77.5,1.0811
Virginia,"Southampton County, VA",2005,77.3,75.2-77.5,1.741
Virginia,"Spotsylvania County, VA",201.04,77.9,77.6-79.5,1.4423
Virginia,"Spotsylvania County, VA",201.05,79.4,77.6-79.5,1.4581
Virginia,"Spotsylvania County, VA",201.06,80.6,79.6-81.6,1.3433
Virginia,"Spotsylvania County, VA",201.07,80.4,79.6-81.6,2.8982
Virginia,"Spotsylvania County, VA",201.08,75.8,75.2-77.5,1.4434
Virginia,"Spotsylvania County, VA",201.09,81.4,79.6-81.6,2.1029
Virginia,"Spotsylvania County, VA",201.1,78.9,77.6-79.5,2.422
Virginia,"Spotsylvania County, VA",201.11,,,
Virginia,"Spotsylvania County, VA",201.12,75.7,75.2-77.5,2.485
Virginia,"Spotsylvania County, VA",201.13,78.9,77.6-79.5,1.424
Virginia,"Spotsylvania County, VA",201.14,83.8,81.7-97.5,3.0749
Virginia,"Spotsylvania County, VA",202.01,75.8,75.2-77.5,1.8516
Virginia,"Spotsylvania County, VA",202.02,76.9,75.2-77.5,1.1445
Virginia,"Spotsylvania County, VA",202.03,76.8,75.2-77.5,1.994
Virginia,"Spotsylvania County, VA",202.04,80,79.6-81.6,1.4604
Virginia,"Spotsylvania County, VA",202.05,76.4,75.2-77.5,2.5625
Virginia,"Spotsylvania County, VA",203.04,81.7,81.7-97.5,1.8704
Virginia,"Spotsylvania County, VA",203.05,77.5,75.2-77.5,2.9674
Virginia,"Spotsylvania County, VA",203.06,79.1,77.6-79.5,1.4741
Virginia,"Spotsylvania County, VA",203.07,77.8,77.6-79.5,1.8617
Virginia,"Spotsylvania County, VA",203.08,80.2,79.6-81.6,2.534
Virginia,"Spotsylvania County, VA",203.09,77.4,75.2-77.5,2.0755
Virginia,"Spotsylvania County, VA",203.1,80.9,79.6-81.6,2.1932
Virginia,"Spotsylvania County, VA",203.11,76.1,75.2-77.5,1.6161
Virginia,"Spotsylvania County, VA",204.03,,,
Virginia,"Spotsylvania County, VA",204.04,76.9,75.2-77.5,1.0817
